編號,銀行,信用卡,國內現金回饋,國外現金回饋,關鍵字,產品特色,限制,首刷禮,首刷優惠,手續費,年費,最低年收入,最低年齡,,,
139,台新銀行,國泰航空翱翔鈦金卡,0.00%,0.00%,"里程累積
旅遊優惠","一般消費國內 NT$25 =1里數，國外 NT$15 =1里數
越飛越有哩：6個月內搭乘國泰航空航班，搭乘1次，指定消費NT$10＝1里數，搭乘2次(含)以上，指定消費NT$5=1里數；國泰航空臺灣官網購票NT$5 = 1里數
辦卡即可獲免馬可孛羅會綠卡會籍申請費用
生日當月國泰航空機票買一送一
機場接/送，一年免費2次",越飛越有哩指定消費類別：海外實體商店消費、指定訂房網站 (Agoda.com、Booking.com、Expedia、Hotels.com、Kaligo.com)、旅遊體驗 (KKday、Klook客路、Viator)、免稅商店 (昇恆昌、采盟、海外實體免稅商店),"首刷禮3,000「亞洲萬里通」里數
條件：翱翔鈦金卡核卡60天內刷卡消費滿NT$3,000，且繳交全額年費，享首刷禮3,000「亞洲萬里通」里數。活動期間：即日起至2018年6月30日",N/A,1.50%,"正卡年費：翱翔鈦金卡NT$2,400",N/A,20,0.0000,http://www.ecis.com.tw/images/taishin_02.jpg,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=1&cad=rja&uact=8&ved=0ahUKEwiKtOv6yOnbAhUEat4KHX38DIwQFggnMAA&url=https%3A%2F%2Fwww.taishinbank.com.tw%2F&usg=AOvVaw3vnU7Evzbn3IgKFbsAxPpP
140,台新銀行,國泰航空鈦金卡,0.00%,0.00%,"里程累積 
旅遊優惠","一般消費國內 NT$30 =1里數，國外 NT$25 =1里數
國泰航空臺灣官網購票NT$5 = 1里數
辦卡即可獲免馬可孛羅會綠卡會籍申請費用
生日當月國泰航空機票買一送一",N/A,"首刷禮1,000「亞洲萬里通」里數
條件：鈦金卡核卡60天內刷卡消費滿NT$3,000，且繳交全額年費，享首刷禮1,000「亞洲萬里通」里數。活動期間：即日起至2018年6月30日",N/A,1.50%,"首年免年費
正卡免年費",N/A,20,0.0000,http://www.ecis.com.tw/images/taishin_02.jpg,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=1&cad=rja&uact=8&ved=0ahUKEwiKtOv6yOnbAhUEat4KHX38DIwQFggnMAA&url=https%3A%2F%2Fwww.taishinbank.com.tw%2F&usg=AOvVaw3vnU7Evzbn3IgKFbsAxPpP
141,台中商銀,JCB哆啦A夢晶緻卡,1.00%,1.00%,"美食
通路聯名","國內外新增一般消費盡享1%現金回饋
指定通路享2.5%回饋金
JCB自動加值享10%回饋","指定通路：統一超商、全家便利商店、OK超商、萊爾富超商、肯德基、必勝客、拿坡里及台鐵。
活動期間內至本活動專屬登錄網頁登錄成功後，即可享有「自動加值10%回饋」參加資格。",N/A,N/A,1.50%,首年免年費,N/A,20,0.0200,http://www.npac-ntt.org/images/logos/o01.png,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=1&cad=rja&uact=8&ved=0ahUKEwjy1J2GyenbAhWGMd4KHe6xA6MQFggnMAA&url=https%3A%2F%2Fwww.tcbbank.com.tw%2F&usg=AOvVaw0hnupYSoiMXCaUUrXPAs69
142,台中商銀,媽祖白金卡,0.00%,1.50%,"宗教
電影","每筆消費金額均提撥0.35%回饋金予大甲鎮瀾宮，國外消費最高可享1.5現金回饋
新光影城天天66折 (限2D全票)
一般消費認同卡NT30/點，國內消費指定通路六、日紅利3倍","以上活動期間至2018/12/31
紅利3倍指定通路：旅行社、百貨公司、超市、量販、雜貨、餐廳、服飾、加油站、航空、運動休閒、繳費、捐款及自動加值。","新卡友首刷有禮：ibon 50元現金抵用券6張
新卡友自核卡45日內任刷一筆888元以上，免費贈送ibon 50元現金抵用券。活動至2018/12/31。",,1.50%,首年免年費,N/A,20,0.0150,http://www.npac-ntt.org/images/logos/o01.png,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=1&cad=rja&uact=8&ved=0ahUKEwjy1J2GyenbAhWGMd4KHe6xA6MQFggnMAA&url=https%3A%2F%2Fwww.tcbbank.com.tw%2F&usg=AOvVaw0hnupYSoiMXCaUUrXPAs69
143,臺灣企銀,北港朝天宮媽祖認同卡,0.30%,1.50%,"宗教
加油停車","國內一般消費 0.3% 現金回饋；海外消費 1.5% 現金回饋；刷卡金的0.30%將回饋予北港朝天宮，作為社會公益的慈善基金。

卡友可享於北港朝天宮點光明燈一年

國際機場停車每年最多 20 天","持北港朝天宮認同卡之卡友，只要刷卡消費滿 88,888 元即享次年享由臺灣企銀統一造冊登錄，於北港朝天宮點光明燈 1 年。",N/A,N/A,1.50%,首年免年費,N/A,20,0.0180,https://atm60000.com/wp-content/uploads/2017/04/1400491978-1364348336.jpg,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=1&cad=rja&uact=8&ved=0ahUKEwjMze-VyenbAhUbUt4KHaJsBv8QFggnMAA&url=https%3A%2F%2Fwww.tbb.com.tw%2F&usg=AOvVaw0uzgD8X4DV4Q66r-gfaNvY
144,臺灣企銀,鈦金商旅卡,0.60%,1.50%,國外刷卡優惠,"國內差旅消費回饋0.6%、國內一般消費回饋0.4%

國外刷卡回饋1.5％","旅平險最高NT$3000萬/免費使用全球1,000個國際機場貴賓室",N/A,"<活動ㄧ>中興嘟嘟房享免費停車「每人每日限停1次」優惠，最多2小時
<活動二>高鐵升等商務車廂優惠
條件
<活動ㄧ>持卡人當月帳單新增消費金額達5,000元以上。至2018/12/31。
<活動二>享每張優惠價NT$290加價升等商務車廂。當月以優惠價加購升等商務車廂車票2張，第3張可享尊榮價NT$188升等商務車廂。至2018/6/30。",1.50%,"正卡年費:鈦金卡NT$3000
首年免年費
免年費條件：年度累積消費達6萬 或 不限金額12次",N/A,20,0.0210,https://atm60000.com/wp-content/uploads/2017/04/1400491978-1364348336.jpg,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=1&cad=rja&uact=8&ved=0ahUKEwjMze-VyenbAhUbUt4KHaJsBv8QFggnMAA&url=https%3A%2F%2Fwww.tbb.com.tw%2F&usg=AOvVaw0uzgD8X4DV4Q66r-gfaNvY
145,臺灣企銀,悠遊聯名卡,0.50%,0.50%,"加油停車
電子支付功能(悠遊卡、一卡通、iCash)","現金回饋最高0.5％；當期自動加值3次(含)以上者，入帳之現金回饋金額加碼30%，加碼後現金回饋最高享0.65%

鈦金卡每日1次、每次最多2小時免費停車優惠。

鈦金卡享有優惠價NT$588起機場接送服務；每戶每年停車天數20天之免費停車優惠。","消費門檻：NT3萬以下享0.3%回饋；NT3萬以上享回饋0.5%回饋。每期最高回饋1,500元。現金回饋加碼：當期自動加值3次(含)以上者，入帳之現金回饋金額加碼30%。",N/A,"<活動ㄧ>高鐵升等商務車廂優惠
條件
<活動ㄧ>享每張優惠價NT$290加價升等商務車廂。當月以優惠價加購升等商務車廂車票2張，第3張可享尊榮價NT$188升等商務車廂。至2018/6/30。",1.50%,首年免年費,N/A,20,0.0100,https://atm60000.com/wp-content/uploads/2017/04/1400491978-1364348336.jpg,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=1&cad=rja&uact=8&ved=0ahUKEwjMze-VyenbAhUbUt4KHaJsBv8QFggnMAA&url=https%3A%2F%2Fwww.tbb.com.tw%2F&usg=AOvVaw0uzgD8X4DV4Q66r-gfaNvY
146,臺灣銀行,鈦金商旅卡,0.20%,1.50%,旅遊優惠,"現金紅利回饋-國內消費達門檻最高可享1.2％;國外消費一律1.5％。回饋金當月扣抵且無上限。

臺銀機場分行結匯優惠: 以新台幣結購美元，按台灣銀行牌告現鈔賣出匯率減收5分，其他幣別現鈔（不含印尼幣、越南盾）減千分之2。

3000萬高額旅行平安保險",回饋活動期間，持卡人當期新增一般國內消費，金額採級距金額分段式回饋，依比率計算回饋金額(四捨五入)，於當期帳單列示並直接扣抵當期消費金額。,N/A,N/A,1.50%,"正卡年費:鈦金卡NT$4800
首年免年費
免年費條件：每年消費刷卡一次，不限金額，享有免年費優惠。","$600,000",20,0.0170,http://rate.bot.com.tw/Content/images/logo_color.png,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=1&cad=rja&uact=8&ved=0ahUKEwi82OyoyenbAhXJZt4KHYyMA50QFggnMAA&url=http%3A%2F%2Fwww.bot.com.tw%2F&usg=AOvVaw0dkh7_6qqZnl_HnXIeJOc4
147,臺灣銀行,金采白金卡,0.00%,0.00%,"旅遊優惠
","消費點數回饋黃金存摺

國際機場全年15天預約停車服務

尊榮道路救援服務 全年無休",按持卡人當期新增一般消費，依本行黃金回饋級距分段計算所得之回饋點數，再依該點數加碼8.88%作為當期黃金回饋點數（ 1點=NT1元），於本行收妥當期信用卡帳款後，該點數方為可 使用點數，當累積可使用黃金點數達200點（含）以上，持卡人可於網路銀行或於分行臨櫃申辦黃金點數兌換存入黃金存摺。,N/A,N/A,1.50%,首年免年費,N/A,20,0.0000,http://rate.bot.com.tw/Content/images/logo_color.png,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=1&cad=rja&uact=8&ved=0ahUKEwi82OyoyenbAhXJZt4KHYyMA50QFggnMAA&url=http%3A%2F%2Fwww.bot.com.tw%2F&usg=AOvVaw0dkh7_6qqZnl_HnXIeJOc4
148,土地銀行,卡通聯名晶緻卡,1.00%,1.00%,N/A,國外消費：國外刷卡消費享不限金額、無上限一律回饋1％。 國內消費：依單筆消費金額設定不同回饋比例．,"＊NT$2,500～9,999回饋0.3％。 ＊NT$10,000～29,999回饋0.5％。 ＊NT$30,000～99,999回饋0.8％。 ＊NT$100,000以上回饋1％。 持卡人應繳足最低應繳金額以上方享有紅利現金回饋。",N/A,N/A,1.50%,"首年免年費
免年費條件：前一年度持卡消費乙筆，即可享有當年度免年費之優惠。",N/A,20,0.0200,https://cdn.101mediaimage.com/img/2017/10/16/1710674083osy5y.jpg,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=1&cad=rja&uact=8&ved=0ahUKEwjeyq_TyenbAhWXd94KHV3MC0AQFggnMAA&url=https%3A%2F%2Fwww.landbank.com.tw%2F&usg=AOvVaw2aKWhD9nSpDSvif-H6g1l9
149,土地銀行,白金商務卡,1.00%,1.00%,N/A,現金回饋國內消費最高回饋1%，國外消費一率1%，回饋無上限,"國內消費NT$2,500～9,999回饋0.3％。NT$10,000～29,999回饋0.5％。NT$30,000～99,999回饋0.8％。NT$100,000以上回饋1％",N/A,N/A,1.50%,"正卡年費:晶緻卡NT$2000 首年免年費
正卡年費:白金卡NT$3000/免年費條件：年消費一次不限金額，即可享有當年度免年費之優惠。","$500,000",20,0.0200,https://cdn.101mediaimage.com/img/2017/10/16/1710674083osy5y.jpg,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=1&cad=rja&uact=8&ved=0ahUKEwjeyq_TyenbAhWXd94KHV3MC0AQFggnMAA&url=https%3A%2F%2Fwww.landbank.com.tw%2F&usg=AOvVaw2aKWhD9nSpDSvif-H6g1l9
150,土地銀行,國際信用卡,0.40%,0.40%,N/A,單筆消費金額最高回饋0.4％,"紅利現金回饋(回饋無上限)： 依單筆消費金額設定不同回饋比例(不含預借現金、學費、國稅及其他稅款等項目)，電腦自動扣抵次月消費款： 　＊NT$2,500～4,999回饋0.2％。 　＊NT$5,000～9,999回饋0.3％。 　＊NT$10,000以上回饋0.4％。",N/A,N/A,1.50%,首年免年費,N/A,20,0.0080,https://cdn.101mediaimage.com/img/2017/10/16/1710674083osy5y.jpg,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=1&cad=rja&uact=8&ved=0ahUKEwjeyq_TyenbAhWXd94KHV3MC0AQFggnMAA&url=https%3A%2F%2Fwww.landbank.com.tw%2F&usg=AOvVaw2aKWhD9nSpDSvif-H6g1l9
151,新光銀行,悠遊聯名卡,1.20%,0.30%,"通路聯名
網路購物","量販超市、生活藥妝、熱門服飾及全省有線電視扣繳費用享1.2%現金回饋，數位通路享最高2.1%現金回饋。活動至2018/6/30。
國內一般消費每筆享0.3%現金，回饋無上限","指定數位通路現金回饋上限NT$300
旅平險最高NT$3600萬","新戶核卡好禮4選1: MK無線掃拖機/刷卡金300元/ NEOFLAM湯鍋鍋/樂美雅玻璃保鮮盒組
限制：(1)新戶核卡後30天內不限地點，任刷3筆588元或刷卡消費(含首次自動加值)累計1,888元，贈送好禮4選1；(2)新戶係指首次申辦且核卡日前12個月內未持有新光銀行任一信用卡者。至2018/6/30。","<活動ㄧ>全聯福利中心單筆/全店消費滿300元，六/日加贈60福利點
限制：<活動ㄧ>活動期間以新光銀行悠遊卡扣款消費，單筆消費金額達新台幣300元(含)以上，加贈全聯福利點數60點(單筆消費不累計)，限每週六日，每卡每日限贈一次。至2018/12/30。",1.50%,"正卡年費:晶緻卡NT$2000 首年免年費
免年費條件：正附卡 合併計算，年度累積 消費達20,000(含)元以上","$200,000",20,0.0150,https://lh3.ggpht.com/RTYJqoxXWdn1bDj_VK6tr-hWBVDfRLq_NKUsREsXsQyTJfkg9m0SsSWLzPXS9DxKvzie,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=1&cad=rja&uact=8&ved=0ahUKEwiX95HayenbAhWEZt4KHcuJDNwQFggnMAA&url=https%3A%2F%2Fwww.skbank.com.tw%2F&usg=AOvVaw0sgpqaHrhkojlv-WIHzFfZ
152,新光銀行,魔法少女一卡通鈦金卡,1.20%,0.30%,"通路聯名
網路購物
電子支付功能(悠遊卡、一卡通、iCash)
加油停車","國內外一般消費享0.3%現金回饋無上限；指定通路消費1.2%現金回饋；指定數位通路享2.1％現金回饋
國際機場外圍停車場停車一年20天不限次數；免費道路救援服務一年4次每次50公里（限正卡人）
於指定停車場使用一卡通付款享5%現金回饋。","指定數位通路：手機APP消費(限iTunes,GOOGLE WALLET,LINE pay)、新光銀行支援之手機行動支付、KKBOX。指定通路：指定量販藥妝、熱門服飾、全省有線電視扣繳費用
數位通路現金回饋上限NT$300
5%現金回饋限指定「台灣國際停車場」、「高鐵嘟嘟房」；每卡每月最高回饋上限NT$100。","新戶核卡好禮4選1: MK無線掃拖機/刷卡金300元/ NEOFLAM湯鍋鍋/樂美雅玻璃保鮮盒組
條件：(1)新戶核卡後30天內不限地點，任刷3筆588元或刷卡消費(含首次自動加值)累計1,888元，贈送好禮4選1；(2)新戶係指首次申辦且核卡日前12個月內未持有新光銀行任一信用卡者。至2018/6/30。",N/A,1.50%,"正卡年費:鈦金卡NT$2000 首年免年費
免年費條件：次年起正、附卡合併計算，年度累計消費達20,000元享次年免年費","$200,000",20,0.0150,https://lh3.ggpht.com/RTYJqoxXWdn1bDj_VK6tr-hWBVDfRLq_NKUsREsXsQyTJfkg9m0SsSWLzPXS9DxKvzie,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=1&cad=rja&uact=8&ved=0ahUKEwiX95HayenbAhWEZt4KHcuJDNwQFggnMAA&url=https%3A%2F%2Fwww.skbank.com.tw%2F&usg=AOvVaw0sgpqaHrhkojlv-WIHzFfZ
153,新光銀行,寰宇現金回饋卡,0.60%,1.50%,網路購物,"國內消費0.6%現金回饋，國外消費1.5%現金回饋
指定數位通路消費享2.1%回饋
現金回饋無上限","指定數位通路：淘寶網、博客來、台灣樂天、ASAP、GOMAJI、生活市集、好吃宅配網、3C市集、UDN買東西、Friday購物、瘋狂賣客、GoHappy、friDay購物X GoHappy、KKBOX、蝦皮拍賣。指定數位通路加碼回饋上限新臺幣300元。
旅平險最高NT$2500萬","新戶核卡好禮4選1: MK無線掃拖機/刷卡金300元/ NEOFLAM湯鍋鍋/樂美雅玻璃保鮮盒組
條件：(1)新戶核卡後30天內不限地點，任刷3筆588元或刷卡消費(含首次自動加值)累計1,888元，贈送好禮4選1；(2)新戶係指首次申辦且核卡日前12個月內未持有新光銀行任一信用卡者。至2018/6/30。",N/A,1.50%,"正卡年費:御璽卡NT$2000,鈦金卡NT2000 首年免年費
免年費條件：年度累積 消費達20,000(含)元以上","$200,000",20,0.0210,https://lh3.ggpht.com/RTYJqoxXWdn1bDj_VK6tr-hWBVDfRLq_NKUsREsXsQyTJfkg9m0SsSWLzPXS9DxKvzie,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=1&cad=rja&uact=8&ved=0ahUKEwiX95HayenbAhWEZt4KHcuJDNwQFggnMAA&url=https%3A%2F%2Fwww.skbank.com.tw%2F&usg=AOvVaw0sgpqaHrhkojlv-WIHzFfZ
154,新光銀行, 新光加油卡,0.00%,0.00%,加油停車,"一般消費享0.3%加油金回饋
每加油回饋金35元可折抵 1小時停車費，當日最高可現場折抵 3小時。","
加油金自動折抵帳單上加油之消費金額",N/A,N/A,1.50%,首年免年費,N/A,20,0.0000,https://lh3.ggpht.com/RTYJqoxXWdn1bDj_VK6tr-hWBVDfRLq_NKUsREsXsQyTJfkg9m0SsSWLzPXS9DxKvzie,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=1&cad=rja&uact=8&ved=0ahUKEwiX95HayenbAhWEZt4KHcuJDNwQFggnMAA&url=https%3A%2F%2Fwww.skbank.com.tw%2F&usg=AOvVaw0sgpqaHrhkojlv-WIHzFfZ
155,新光銀行,日本航空聯名卡,0.00%,0.00%,"里程累積
旅遊優惠
國外刷卡優惠
通路聯名","最低17,000哩即可兌換日本東京來回機票。哩程累積加碼：購買商務艙者，可加計簽帳金額50%額外累積哩程數。
日航哩程儲蓄專案會員（JMB）指定飛行、住宿、購物皆可累計哩程，無上限，效期３年。日航哩程儲蓄專案會員（JMB）每消費NT50元即可累計１哩
日本航空集團機上購買免稅商品，享9折優惠；日本BLUE SKY商店95優惠 ‧成田機場指定免稅店95折優惠",旅平險最高NT$2500萬/日本機場多處機場貴賓室服務,"新戶核卡好禮5選1: MK無線掃拖機/刷卡金300元/ NEOFLAM湯鍋鍋/樂美雅玻璃保鮮盒組/日航哩程數500哩
條件：(1)新戶核卡後30天內不限地點，任刷3筆588元或刷卡消費(含首次自動加值)累計1,888元，贈送好禮4選1；(2)新戶係指首次申辦且核卡日前12個月內未持有新光銀行任一信用卡者。至2018/6/30。",N/A,1.50%,"正卡年費:晶緻卡NT$2000 首年免年費
免年費條件：年度消費滿NT$2萬","$200,000",20,0.0000,https://lh3.ggpht.com/RTYJqoxXWdn1bDj_VK6tr-hWBVDfRLq_NKUsREsXsQyTJfkg9m0SsSWLzPXS9DxKvzie,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=1&cad=rja&uact=8&ved=0ahUKEwiX95HayenbAhWEZt4KHcuJDNwQFggnMAA&url=https%3A%2F%2Fwww.skbank.com.tw%2F&usg=AOvVaw0sgpqaHrhkojlv-WIHzFfZ
156,新光銀行,新光三越聯名卡,0.00%,0.00%,"美食
電影
通路聯名
加油停車","館內刷卡滿3000元，聯名卡獨享3期0利率優惠。
週五~週日，化妝品、女性服飾、餐廳、咖啡廳、小吃單筆消費滿NT$3,000(含)元享紅利2倍送。
月月刷卡滿15,000元(含)以上享指定影城電影票最高刷500送500。館內停車最高4小時。",旅平險最高NT$1500萬,"新戶核卡好禮4選1: MK無線掃拖機/刷卡金300元/ NEOFLAM湯鍋鍋/樂美雅玻璃保鮮盒組
條件：(1)新戶核卡後30天內不限地點，任刷3筆588元或刷卡消費(含首次自動加值)累計1,888元，贈送好禮4選1；(2)新戶係指首次申辦且核卡日前12個月內未持有新光銀行任一信用卡者。至2018/6/30。",N/A,1.50%,"正卡年費:御璽卡NT$2000 首年免年費
免年費條件：前三年免年費，年度消費滿NT$2萬","$200,000",20,0.0000,https://lh3.ggpht.com/RTYJqoxXWdn1bDj_VK6tr-hWBVDfRLq_NKUsREsXsQyTJfkg9m0SsSWLzPXS9DxKvzie,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=1&cad=rja&uact=8&ved=0ahUKEwiX95HayenbAhWEZt4KHcuJDNwQFggnMAA&url=https%3A%2F%2Fwww.skbank.com.tw%2F&usg=AOvVaw0sgpqaHrhkojlv-WIHzFfZ
157,新光銀行,美麗華百樂卡,0.00%,0.00%,"加油停車
美食
電影
通路聯名","美麗華館內享9折起折扣優惠；美食街500元內免簽名並享9-95折；館內刷卡消費不限金額，可享3期或6期分期0利率；館內STUDIO A、HTC、ASUS、SAMSUNG專櫃刷卡消費不限金額，可享12期分期0利率。
生日當天免費兌換電影票及摩天輪搭乘券，生日當月刷卡消費紅利積點3倍送。
館內停車最高5小時。刷卡購買美麗華大直影城電影票享早場優惠價。",旅平險最高NT$2500萬,"新戶核卡好禮4選1: MK無線掃拖機/刷卡金300元/ NEOFLAM湯鍋鍋/樂美雅玻璃保鮮盒組
條件：(1)新戶核卡後30天內不限地點，任刷3筆588元或刷卡消費(含首次自動加值)累計1,888元，贈送好禮4選1；(2)新戶係指首次申辦且核卡日前12個月內未持有新光銀行任一信用卡者。至2018/6/30。",N/A,1.50%,"正卡年費:普卡NT$500,金卡NT$1000,鈦金卡NT$2000,晶緻卡NT2000 首年免年費
免年費條件：各張信用卡申辦第一年免年費，第二年起於每年刷卡消費達下列累積消費門檻，可減免次年年費：正、附卡合併計算，每年累積消費達20,000(含)元以上","$200,000",20,0.0000,https://lh3.ggpht.com/RTYJqoxXWdn1bDj_VK6tr-hWBVDfRLq_NKUsREsXsQyTJfkg9m0SsSWLzPXS9DxKvzie,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=1&cad=rja&uact=8&ved=0ahUKEwiX95HayenbAhWEZt4KHcuJDNwQFggnMAA&url=https%3A%2F%2Fwww.skbank.com.tw%2F&usg=AOvVaw0sgpqaHrhkojlv-WIHzFfZ
158,新光銀行,義大世界聯名卡,0.00%,0.00%,通路聯名,"義大世界館內免費停車最優2小時起；義大國賓影城平日購票66折起；義大遊世界門票85折優惠。
義大皇家指定住宿/用餐優惠及義大天悅平日住宿/用餐優惠85折起。
生日當天憑卡兌換電影票及摩天輪券",N/A,"新戶核卡好禮4選1: MK無線掃拖機/刷卡金300元/ NEOFLAM湯鍋鍋/樂美雅玻璃保鮮盒組
限制：(1)新戶核卡後30天內不限地點，任刷3筆588元或刷卡消費(含首次自動加值)累計1,888元，贈送好禮4選1；(2)新戶係指首次申辦且核卡日前12個月內未持有新光銀行任一信用卡者。至2018/6/30。","<活動一> 義大聯名卡獨家生日禮 免費看電影、搭乘摩天輪
限制：<活動一> 即日起~2018/12/31，生日當天憑卡及身份証於義大世界摩天輪售票處可兌換「摩天輪搭乘券乙張」及「國賓影城@高雄義大世界電影票兌換券乙張」。",1.50%,首年免年費,"$200,000",20,0.0000,https://lh3.ggpht.com/RTYJqoxXWdn1bDj_VK6tr-hWBVDfRLq_NKUsREsXsQyTJfkg9m0SsSWLzPXS9DxKvzie,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=1&cad=rja&uact=8&ved=0ahUKEwiX95HayenbAhWEZt4KHcuJDNwQFggnMAA&url=https%3A%2F%2Fwww.skbank.com.tw%2F&usg=AOvVaw0sgpqaHrhkojlv-WIHzFfZ
159,新光銀行,分期7卡,0.00%,0.00%,N/A,"刷卡消費自動分7期0利率
新光人壽續期保費1%回饋
扣繳指定保險費，單筆滿NT$5,000(含)以上，享12期0利率。","新增或變更分期有手續費，新增之分期消費款加未清償之分期消費餘額不得高於20萬元，分7期之分期最低金額不得低於NT$777。
新增分期消費，當期帳單收取NT$50。
旅平險最高NT$1250萬","新戶核卡好禮4選1: MK無線掃拖機/刷卡金300元/ NEOFLAM湯鍋鍋/樂美雅玻璃保鮮盒組
限制：(1)新戶核卡後30天內不限地點，任刷3筆588元或刷卡消費(含首次自動加值)累計1,888元，贈送好禮4選1；(2)新戶係指首次申辦且核卡日前12個月內未持有新光銀行任一信用卡者。至2018/6/30。",N/A,1.50%,"正卡年費:白金卡NT$2000,普卡NT$2000 首年免年費
免年費條件：","$500,000",20,0.0000,https://lh3.ggpht.com/RTYJqoxXWdn1bDj_VK6tr-hWBVDfRLq_NKUsREsXsQyTJfkg9m0SsSWLzPXS9DxKvzie,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=1&cad=rja&uact=8&ved=0ahUKEwiX95HayenbAhWEZt4KHcuJDNwQFggnMAA&url=https%3A%2F%2Fwww.skbank.com.tw%2F&usg=AOvVaw0sgpqaHrhkojlv-WIHzFfZ
160,星展銀行,豐利御璽卡,1.00%,2.50%,國外刷卡優惠,"現金回饋比率：一般通路享 0.6%，指定通路享 1% 現金回饋
海外消費享2.5%現金回饋","指定通路：加油類、飯店住宿類、航空旅遊類
海外消費2.5%加碼的部分每兩個月結算一次，每月回饋上限NT$5,000，未滿一個月以一個月結算。優惠期間為即日起至2018/6/30。","新戶首刷禮9選1：刷卡金NT$500/Sogo禮券NT$500/20吋行李箱/12吋擺頭立扇/歌林溫熱揉捏按摩器/Glasslock減油微波保鮮盒組/東元LED魔術體重計/ 德國BRITA FUN酷樂壺1.5公升/SILWA繽紛鑄瓷湯鍋22cm
活動期間至2018/7/31",N/A,1.50%,"正卡年費：御璽卡NT$2,000元/ 首年免年費
免年費條件：首年免年費，次年起正卡凡年度刷卡消費合計滿NT$60,000或年度之累計消費次數達 12 次。","$400,000",20,0.0350,http://2.bp.blogspot.com/-bzNXEAjAO6w/UuZY3XvdR7I/AAAAAAAAAVg/LvyjKtm0YK8/w660-h330-n/DBS.jpg,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=1&cad=rja&uact=8&ved=0ahUKEwiIu5rwyenbAhWLa94KHXdHAFMQFgg5MAA&url=https%3A%2F%2Fwww.dbs.com.tw%2Findex-zh%2Fdefault.page&usg=AOvVaw3oj648byKqo2r0cGLR7o5y
161,星展銀行,豐盛御璽卡,0.80%,1.50%,國外刷卡優惠,"國外消費盡享1.5%現金回饋
國內每月消費>=NT$2萬，現金回饋0.8%",星展豐盛御璽卡為星展銀行豐盛理財客戶專屬信用卡,N/A,N/A,1.50%,首年免年費,N/A,20,0.0230,http://2.bp.blogspot.com/-bzNXEAjAO6w/UuZY3XvdR7I/AAAAAAAAAVg/LvyjKtm0YK8/w660-h330-n/DBS.jpg,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=1&cad=rja&uact=8&ved=0ahUKEwiIu5rwyenbAhWLa94KHXdHAFMQFgg5MAA&url=https%3A%2F%2Fwww.dbs.com.tw%2Findex-zh%2Fdefault.page&usg=AOvVaw3oj648byKqo2r0cGLR7o5y
